Index,Experiment_Name,Splitting_Strategy,Model_Parameters,Feature_Notes,R2_Score,MAE,RMSE,MAPE,Notes
25,"Ensemble Stacking RandomForest, CatBoost, SVR","StratifiedShuffleSplit (test_size=0.2, on 5 AQI bins)","{'cv': 5, 'estimators': [('Optimized RandomForest', RandomForestRegressor(max_depth=20, max_features='sqrt', n_estimators=200,n_jobs=-1, random_state=42)), ('Optimized CatBoost', <catboost.core.CatBoostRegressor object at 0x7a1ebce2cbd0>), ('Optimized SVR', SVR(C=100))], 'final_estimator__alpha_per_target': False, 'final_estimator__alphas': (0.1, 1.0, 10.0), 'final_estimator__cv': None, 'final_estimator__fit_intercept': True, 'final_estimator__gcv_mode': None, 'final_estimator__scoring': None, 'final_estimator__store_cv_results': None, 'final_estimator__store_cv_values': 'deprecated', 'final_estimator': RidgeCV(), 'n_jobs': -1, 'passthrough': True, 'verbose': 0, 'Optimized RandomForest': RandomForestRegressor(max_depth=20, max_features='sqrt', n_estimators=200, n_jobs=-1, random_state=42), 'Optimized CatBoost': <catboost.core.CatBoostRegressor object at 0x7a1ebce2cbd0>, 'Optimized SVR': SVR(C=100), 'Optimized RandomForest__bootstrap': True, 'Optimized RandomForest__ccp_alpha': 0.0, 'Optimized RandomForest__criterion': 'squared_error', 'Optimized RandomForest__max_depth': 20, 'Optimized RandomForest__max_features': 'sqrt', 'Optimized RandomForest__max_leaf_nodes': None, 'Optimized RandomForest__max_samples': None, 'Optimized RandomForest__min_impurity_decrease': 0.0, 'Optimized RandomForest__min_samples_leaf': 1, 'Optimized RandomForest__min_samples_split': 2, 'Optimized RandomForest__min_weight_fraction_leaf': 0.0, 'Optimized RandomForest__monotonic_cst': None, 'Optimized RandomForest__n_estimators': 200, 'Optimized RandomForest__n_jobs': -1, 'Optimized RandomForest__oob_score': False, 'Optimized RandomForest__random_state': 42, 'Optimized RandomForest__verbose': 0, 'Optimized RandomForest__warm_start': False, 'Optimized CatBoost__iterations': 300, 'Optimized CatBoost__learning_rate': 0.05, 'Optimized CatBoost__depth': 4, 'Optimized CatBoost__l2_leaf_reg': 3, 'Optimized CatBoost__loss_function': 'RMSE', 'Optimized CatBoost__verbose': 0, 'Optimized CatBoost__random_state': 42, 'Optimized SVR__C': 100, 'Optimized SVR__cache_size': 200, 'Optimized SVR__coef0': 0.0, 'Optimized SVR__degree': 3, 'Optimized SVR__epsilon': 0.1, 'Optimized SVR__gamma': 'scale', 'Optimized SVR__kernel': 'rbf', 'Optimized SVR__max_iter': -1, 'shrinking': True, 'Optimized SVR__tol': 0.001, 'Optimized SVR__verbose': False}","7 lag features + month, day_of_year, day_of_week",0.817529396,10.924042,17.535075,0.096308,Testing ensemble model
26,Ensemble Weighted Averaging RF-CB-XGB,"StratifiedShuffleSplit (test_size=0.2, on 5 AQI bins),","{'estimators': [('Optimized RandomForest', RandomForestRegressor(max_depth=20, max_features='sqrt', n_estimators=200,n_jobs=-1, random_state=42)), ('Optimized CatBoost',<catboost.core.CatBoostRegressorobjectat0x7a1ebce2cbd0>),('OptimizedXGBoost',XGBRegressor(base_score=None,booster=None,callbacks=None,colsample_bylevel=None, colsample_bynode=None,colsample_bytree=0.8, device=None, early_stopping_rounds=None,
enable_categorical=False, eval_metric=None, feature_types=None,feature_weights=None, gamma=None, grow_policy=None,
importance_type=None, interaction_constraints=None,learning_rate=0.1, max_bin=None, max_cat_threshold=None,
max_cat_to_onehot=None, max_delta_step=None, max_depth=3,max_leaves=None, min_child_weight=None, missing=nan,
monotone_constraints=None, multi_strategy=None, n_estimators=100,n_jobs=-1, num_parallel_tree=None, ...))], 'n_jobs': None, 'verbose': False, 'weights': [0.4, 0.4, 0.2], 'Optimized RandomForest': RandomForestRegressor(max_depth=20, max_features='sqrt', n_estimators=200,n_jobs=-1, random_state=42), 'Optimized CatBoost': <catboost.core.CatBoostRegressor object at 0x7a1ebce2cbd0>, 'Optimized XGBoost': XGBRegressor(base_score=None, booster=None, callbacks=None,colsample_bylevel=None, colsample_bynode=None,colsample_bytree=0.8, device=None, early_stopping_rounds=None,
enable_categorical=False, eval_metric=None, feature_types=None,feature_weights=None, gamma=None, grow_policy=None,
importance_type=None, interaction_constraints=None,learning_rate=0.1, max_bin=None, max_cat_threshold=None,max_cat_to_onehot=None, max_delta_step=None,max_depth=3,max_leaves=None, min_child_weight=None, missing=nan,monotone_constraints=None, multi_strategy=None, n_estimators=100,n_jobs=-1, num_parallel_tree=None, ...), 'Optimized RandomForest__bootstrap': True, 'Optimized RandomForest__ccp_alpha': 0.0, 'Optimized RandomForest__criterion': 'squared_error', 'Optimized RandomForest__max_depth': 20, 'Optimized RandomForest__max_features': 'sqrt', 'Optimized RandomForest__max_leaf_nodes': None, 'Optimized RandomForest__max_samples': None, 'Optimized RandomForest__min_impurity_decrease': 0.0, 'Optimized RandomForest__min_samples_leaf': 1, 'Optimized RandomForest__min_samples_split': 2, 'Optimized RandomForest__min_weight_fraction_leaf': 0.0, 'Optimized RandomForest__monotonic_cst': None, 'Optimized RandomForest__n_estimators': 200, 'Optimized RandomForest__n_jobs': -1, 'Optimized RandomForest__oob_score': False, 'Optimized RandomForest__random_state': 42, 'Optimized RandomForest__verbose': 0, 'Optimized RandomForest__warm_start': False, 'Optimized CatBoost__iterations': 300, 'Optimized CatBoost__learning_rate': 0.05, 'Optimized CatBoost__depth': 4, 'Optimized CatBoost__l2_leaf_reg': 3, 'Optimized CatBoost__loss_function': 'RMSE', 'Optimized CatBoost__verbose': 0, 'Optimized CatBoost__random_state': 42, 'Optimized XGBoost__objective': 'reg:squarederror', 'Optimized XGBoost__base_score': None, 'Optimized XGBoost__booster': None, 'Optimized XGBoost__callbacks': None, 'Optimized XGBoost__colsample_bylevel': None, 'Optimized XGBoost__colsample_bynode': None, 'Optimized XGBoost__colsample_bytree': 0.8, 'Optimized XGBoost__device': None, 'Optimized XGBoost__early_stopping_rounds': None, 'Optimized XGBoost__enable_categorical': False, 'Optimized XGBoost__eval_metric': None, 'Optimized XGBoost__feature_types': None, 'Optimized XGBoost__feature_weights': None, 'Optimized XGBoost__gamma': None, 'Optimized XGBoost__grow_policy': None, 'Optimized XGBoost__importance_type': None, 'Optimized XGBoost__interaction_constraints': None, 'Optimized XGBoost__learning_rate': 0.1, 'Optimized XGBoost__max_bin': None, 'Optimized XGBoost__max_cat_threshold': None, 'Optimized XGBoost__max_cat_to_onehot': None, 'Optimized XGBoost__max_delta_step': None, 'Optimized XGBoost__max_depth': 3, 'Optimized XGBoost__max_leaves': None, 'Optimized XGBoost__min_child_weight': None, 'Optimized XGBoost__missing': nan, 'Optimized XGBoost__monotone_constraints': None, 'Optimized XGBoost__multi_strategy': None, 'Optimized XGBoost__n_estimators': 100, 'Optimized XGBoost__n_jobs': -1, 'Optimized XGBoost__num_parallel_tree': None, 'Optimized XGBoost__random_state': 42, 'Optimized XGBoost__reg_alpha': None, 'Optimized XGBoost__reg_lambda': None, 'Optimized XGBoost__sampling_method': None, 'Optimized XGBoost__scale_pos_weight': None, 'Optimized XGBoost__subsample': 0.7, 'Optimized XGBoost__tree_method': None, 'Optimized XGBoost__validate_parameters': None, 'Optimized XGBoost__verbosity': None}","7 lag features + month, day_of_year, day_of_week",0.836299243,10.551098,16.608733,0.094565,Testing ensemble model but with weighted averages
27,Ensemble_AdvancedStack_RF-XGB-SVR_with_LGBM,"StratifiedShuffleSplit (test_size=0.2, on 5 AQI bins)","{'cv': 5, 'estimators': [('Optimized RandomForest', RandomForestRegressor(max_depth=20, max_features='sqrt', n_estimators=200,n_jobs=-1, random_state=42)), ('OptimizedXGBoost', XGBRegressor(base_score=None, booster=None, callbacks=None,colsample_bylevel=None, colsample_bynode=None,colsample_bytree=0.8,device=None, early_stopping_rounds=None,enable_categorical=False, eval_metric=None, feature_types=None,
feature_weights=None,gamma=None,grow_policy=None,importance_type=None,interaction_constraints=None,learning_rate0.1,max_bin=None,max_cat_threshold=None,ax_cat_to_onehot=None, max_delta_step=None, max_depth=3,
max_leaves=None, min_child_weight=None, missing=nan,
monotone_constraints=None, multi_strategy=None, n_estimators=100,
n_jobs=-1, num_parallel_tree=None, ...)), ('Optimized SVR', SVR(C=100))], 'final_estimator__boosting_type': 'gbdt', 'final_estimator__class_weight': None, 'final_estimator__colsample_bytree': 1.0, 'final_estimator__importance_type': 'split', 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': -1, 'final_estimator__min_child_samples': 20, 'final_estimator__min_child_weight': 0.001, 'final_estimator__min_split_gain': 0.0, 'final_estimator__n_estimators': 100, 'final_estimator__n_jobs': -1, 'final_estimator__num_leaves': 31, 'final_estimator__objective': None, 'final_estimator__random_state': 42, 'final_estimator__reg_alpha': 0.0, 'final_estimator__reg_lambda': 0.0, 'final_estimator__subsample': 1.0, 'final_estimator__subsample_for_bin': 200000, 'final_estimator__subsample_freq': 0, 'final_estimator__verbosity': -1, 'final_estimator': LGBMRegressor(n_jobs=-1, random_state=42, verbosity=-1), 'n_jobs': -1, 'passthrough': False, 'verbose': 0, 'Optimized RandomForest': RandomForestRegressor(max_depth=20, max_features='sqrt', n_estimators=200,
n_jobs=-1, random_state=42), 'Optimized XGBoost': XGBRegressor(base_score=None, booster=None, callbacks=None,
colsample_bylevel=None, colsample_bynode=None,
colsample_bytree=0.8, device=None, early_stopping_rounds=None,
enable_categorical=False, eval_metric=None, feature_types=None,
feature_weights=None, gamma=None, grow_policy=None,
importance_type=None, interaction_constraints=None,
learning_rate=0.1, max_bin=None, max_cat_threshold=None,
max_cat_to_onehot=None, max_delta_step=None, max_depth=3,
max_leaves=None, min_child_weight=None, missing=nan,
monotone_constraints=None, multi_strategy=None, n_estimators=100,
n_jobs=-1, num_parallel_tree=None, ...), 'Optimized SVR': SVR(C=100), 'Optimized RandomForest__bootstrap': True, 'Optimized RandomForest__ccp_alpha': 0.0, 'Optimized RandomForest__criterion': 'squared_error', 'Optimized RandomForest__max_depth': 20, 'Optimized RandomForest__max_features': 'sqrt', 'Optimized RandomForest__max_leaf_nodes': None, 'Optimized RandomForest__max_samples': None, 'Optimized RandomForest__min_impurity_decrease': 0.0, 'Optimized RandomForest__min_samples_leaf': 1, 'Optimized RandomForest__min_samples_split': 2, 'Optimized RandomForest__min_weight_fraction_leaf': 0.0, 'Optimized RandomForest__monotonic_cst': None, 'Optimized RandomForest__n_estimators': 200, 'Optimized RandomForest__n_jobs': -1, 'Optimized RandomForest__oob_score': False, 'Optimized RandomForest__random_state': 42, 'Optimized RandomForest__verbose': 0, 'Optimized RandomForest__warm_start': False, 'Optimized XGBoost__objective': 'reg:squarederror', 'Optimized XGBoost__base_score': None, 'Optimized XGBoost__booster': None, 'Optimized XGBoost__callbacks': None, 'Optimized XGBoost__colsample_bylevel': None, 'Optimized XGBoost__colsample_bynode': None, 'Optimized XGBoost__colsample_bytree': 0.8, 'Optimized XGBoost__device': None, 'Optimized XGBoost__early_stopping_rounds': None, 'Optimized XGBoost__enable_categorical': False, 'Optimized XGBoost__eval_metric': None, 'Optimized XGBoost__feature_types': None, 'Optimized XGBoost__feature_weights': None, 'Optimized XGBoost__gamma': None, 'Optimized XGBoost__grow_policy': None, 'Optimized XGBoost__importance_type': None, 'Optimized XGBoost__interaction_constraints': None, 'Optimized XGBoost__learning_rate': 0.1, 'Optimized XGBoost__max_bin': None, 'Optimized XGBoost__max_cat_threshold': None, 'Optimized XGBoost__max_cat_to_onehot': None, 'Optimized XGBoost__max_delta_step': None, 'Optimized XGBoost__max_depth': 3, 'Optimized XGBoost__max_leaves': None, 'Optimized XGBoost__min_child_weight': None, 'Optimized XGBoost__missing': nan, 'Optimized XGBoost__monotone_constraints': None, 'Optimized XGBoost__multi_strategy': None, 'Optimized XGBoost__n_estimators': 100, 'Optimized XGBoost__n_jobs': -1, 'Optimized XGBoost__num_parallel_tree': None, 'Optimized XGBoost__random_state': 42, 'Optimized XGBoost__reg_alpha': None, 'Optimized XGBoost__reg_lambda': None, 'Optimized XGBoost__sampling_method': None, 'Optimized XGBoost__scale_pos_weight': None, 'Optimized XGBoost__subsample': 0.7, 'Optimized XGBoost__tree_method': None, 'Optimized XGBoost__validate_parameters': None, 'Optimized XGBoost__verbosity': None, 'Optimized SVR__C': 100, 'Optimized SVR__cache_size': 200, 'Optimized SVR__coef0': 0.0, 'Optimized SVR__degree': 3, 'Optimized SVR__epsilon': 0.1, 'Optimized SVR__gamma': 'scale', 'Optimized SVR__kernel': 'rbf', 'Optimized SVR__max_iter': -1, 'shrinking': True, 'Optimized SVR__tol': 0.001, 'Optimized SVR__verbose': False}","7 lag features + month, day_of_year, day_of_week",0.800764606,12.274325,18.322908,0.110482,Testing ensemble model but advanced stacking with LGM as final regressor
28,Ensemble_WEIGHTED AVERAGE_AD_FE,"StratifiedShuffleSplit (test_size=0.2, on 5 AQI bins)","{'estimators': [('Optimized RandomForest', RandomForestRegressor(max_depth=20, max_features='sqrt', n_estimators=200,n_jobs=-1, random_state=42)), ('Optimized CatBoost', <catboost.core.CatBoostRegressor object at 0x7a1ebe4f9850>), ('Optimized XGBoost', XGBRegressor(base_score=None, booster=None, callbacks=None,
colsample_bylevel=None, colsample_bynode=None,
colsample_bytree=0.8, device=None, early_stopping_rounds=None,
enable_categorical=False, eval_metric=None, feature_types=None,
feature_weights=None, gamma=None, grow_policy=None,
importance_type=None, interaction_constraints=None,
learning_rate=0.1, max_bin=None, max_cat_threshold=None,
max_cat_to_onehot=None, max_delta_step=None, max_depth=3,
max_leaves=None, min_child_weight=None, missing=nan,
monotone_constraints=None, multi_strategy=None, n_estimators=100,
n_jobs=-1, num_parallel_tree=None, ...))], 'n_jobs': None, 'verbose': False, 'weights': [0.4, 0.4, 0.2], 'Optimized RandomForest': RandomForestRegressor(max_depth=20, max_features='sqrt', n_estimators=200,
n_jobs=-1, random_state=42), 'Optimized CatBoost': <catboost.core.CatBoostRegressor object at 0x7a1ebe4f9850>, 'Optimized XGBoost': XGBRegressor(base_score=None, booster=None, callbacks=None,
colsample_bylevel=None, colsample_bynode=None,
colsample_bytree=0.8, device=None, early_stopping_rounds=None,
enable_categorical=False, eval_metric=None, feature_types=None,
feature_weights=None, gamma=None, grow_policy=None,
importance_type=None, interaction_constraints=None,
learning_rate=0.1, max_bin=None, max_cat_threshold=None,
max_cat_to_onehot=None, max_delta_step=None, max_depth=3,
max_leaves=None, min_child_weight=None, missing=nan,
monotone_constraints=None, multi_strategy=None, n_estimators=100,
n_jobs=-1, num_parallel_tree=None, ...), 'Optimized RandomForest__bootstrap': True, 'Optimized RandomForest__ccp_alpha': 0.0, 'Optimized RandomForest__criterion': 'squared_error', 'Optimized RandomForest__max_depth': 20, 'Optimized RandomForest__max_features': 'sqrt', 'Optimized RandomForest__max_leaf_nodes': None, 'Optimized RandomForest__max_samples': None, 'Optimized RandomForest__min_impurity_decrease': 0.0, 'Optimized RandomForest__min_samples_leaf': 1, 'Optimized RandomForest__min_samples_split': 2, 'Optimized RandomForest__min_weight_fraction_leaf': 0.0, 'Optimized RandomForest__monotonic_cst': None, 'Optimized RandomForest__n_estimators': 200, 'Optimized RandomForest__n_jobs': -1, 'Optimized RandomForest__oob_score': False, 'Optimized RandomForest__random_state': 42, 'Optimized RandomForest__verbose': 0, 'Optimized RandomForest__warm_start': False, 'Optimized CatBoost__iterations': 300, 'Optimized CatBoost__learning_rate': 0.05, 'Optimized CatBoost__depth': 4, 'Optimized CatBoost__l2_leaf_reg': 3, 'Optimized CatBoost__loss_function': 'RMSE', 'Optimized CatBoost__verbose': 0, 'Optimized CatBoost__random_state': 42, 'Optimized XGBoost__objective': 'reg:squarederror', 'Optimized XGBoost__base_score': None, 'Optimized XGBoost__booster': None, 'Optimized XGBoost__callbacks': None, 'Optimized XGBoost__colsample_bylevel': None, 'Optimized XGBoost__colsample_bynode': None, 'Optimized XGBoost__colsample_bytree': 0.8, 'Optimized XGBoost__device': None, 'Optimized XGBoost__early_stopping_rounds': None, 'Optimized XGBoost__enable_categorical': False, 'Optimized XGBoost__eval_metric': None, 'Optimized XGBoost__feature_types': None, 'Optimized XGBoost__feature_weights': None, 'Optimized XGBoost__gamma': None, 'Optimized XGBoost__grow_policy': None, 'Optimized XGBoost__importance_type': None, 'Optimized XGBoost__interaction_constraints': None, 'Optimized XGBoost__learning_rate': 0.1, 'Optimized XGBoost__max_bin': None, 'Optimized XGBoost__max_cat_threshold': None, 'Optimized XGBoost__max_cat_to_onehot': None, 'Optimized XGBoost__max_delta_step': None, 'Optimized XGBoost__max_depth': 3, 'Optimized XGBoost__max_leaves': None, 'Optimized XGBoost__min_child_weight': None, 'Optimized XGBoost__missing': nan, 'Optimized XGBoost__monotone_constraints': None, 'Optimized XGBoost__multi_strategy': None, 'Optimized XGBoost__n_estimators': 100, 'Optimized XGBoost__n_jobs': -1, 'Optimized XGBoost__num_parallel_tree': None, 'Optimized XGBoost__random_state': 42, 'Optimized XGBoost__reg_alpha': None, 'Optimized XGBoost__reg_lambda': None, 'Optimized XGBoost__sampling_method': None, 'Optimized XGBoost__scale_pos_weight': None, 'Optimized XGBoost__subsample': 0.7, 'Optimized XGBoost__tree_method': None, 'Optimized XGBoost__validate_parameters': None, 'Optimized XGBoost__verbosity': None}","7 lag features + month, day_of_year, day_of_week",0.857665936,10.725567,16.181658,0.09684,Testing Best using advanced feature engineering
29,CNN ,"StratifiedShuffleSplit (test_size=0.2, on 5 AQI bins)",,"Advanced Features: Rolling stats, interactions, cyclical time features",-0.104625,32.95193011,44.82592568,0.321646787,Testing the improved CNN architecture with Dropout.
30, LSTM,"StratifiedShuffleSplit (test_size=0.2, on 5 AQI bins)",,"Advanced Features: Rolling stats, interactions, cyclical time features",-0.001024795,32.69812124,42.67212302,0.332668256,Testing LSTMS. Results not satisfactory.
